               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080551,            0.029611,            0.032131,            0.001552,             0.40278,           0.0065539,           0.0023725,            0.028208,            0.017907,            0.015082,              0.0901,              0.0011,              0.0011
                   1,            0.059306,            0.029003,            0.031412,              0.5039,             0.20734,             0.23196,             0.12234,            0.017696,            0.013711,            0.014301,            0.079254,           0.0022545,           0.0022545
                   2,            0.053545,            0.025951,            0.030239,             0.44276,             0.54535,             0.32792,             0.17958,            0.016936,            0.011523,            0.013953,            0.068361,           0.0033614,           0.0033614
                   3,            0.042817,            0.023582,            0.028448,              0.2705,             0.65972,             0.42281,             0.22298,            0.023162,           0.0096977,            0.013184,            0.057421,           0.0044208,           0.0044208
                   4,            0.046098,             0.01989,            0.027848,             0.30428,             0.68194,             0.39772,              0.1832,            0.017596,           0.0064471,            0.011673,            0.046433,           0.0054327,           0.0054327
                   5,            0.042966,            0.019181,            0.029904,             0.30564,             0.51389,             0.36733,             0.16762,            0.018137,           0.0055774,             0.01134,            0.035397,           0.0063971,           0.0063971
                   6,             0.03909,            0.018606,            0.026326,             0.29505,             0.48333,             0.39166,              0.1845,             0.02253,            0.005358,             0.01145,            0.024314,            0.007314,            0.007314
                   7,            0.041248,            0.016585,            0.023392,             0.31285,             0.47639,             0.39804,             0.17466,             0.01941,           0.0051911,            0.011411,            0.013183,           0.0081833,           0.0081833
                   8,            0.042183,            0.015905,            0.026571,             0.51239,             0.44861,             0.53881,             0.28359,            0.016104,           0.0051083,            0.010422,            0.008416,            0.008416,            0.008416
                   9,            0.037239,            0.016247,            0.020421,             0.42552,             0.67451,             0.53173,             0.33095,            0.016901,           0.0049895,            0.010321,            0.008416,            0.008416,            0.008416
                  10,            0.032193,            0.017387,             0.02458,             0.44216,             0.73123,             0.49861,             0.30498,            0.018307,           0.0050993,           0.0093597,            0.008218,            0.008218,            0.008218
                  11,            0.034724,            0.014121,            0.019343,             0.44686,             0.70361,             0.59799,             0.34483,            0.014717,           0.0043235,           0.0092621,             0.00802,             0.00802,             0.00802
                  12,            0.033096,            0.015639,             0.02246,             0.69539,             0.64609,             0.71547,             0.38966,            0.012506,             0.00445,           0.0093933,            0.007822,            0.007822,            0.007822
                  13,            0.031057,            0.014028,            0.020963,             0.60095,             0.53611,             0.59794,             0.39361,             0.01343,           0.0044486,           0.0095367,            0.007624,            0.007624,            0.007624
                  14,             0.03053,            0.013974,            0.014798,             0.46636,             0.64861,             0.51981,             0.32336,            0.016061,           0.0043151,           0.0091858,            0.007426,            0.007426,            0.007426
                  15,            0.028166,             0.01311,            0.014489,             0.52655,             0.72777,             0.66505,             0.38772,            0.011266,           0.0049078,           0.0097748,            0.007228,            0.007228,            0.007228
                  16,            0.028944,            0.014139,            0.013189,             0.58734,             0.58099,             0.61505,             0.28103,            0.014373,           0.0049564,            0.011188,             0.00703,             0.00703,             0.00703
                  17,            0.030872,            0.013062,            0.012729,             0.46401,             0.67505,             0.54667,             0.35945,            0.011694,           0.0044317,            0.010435,            0.006832,            0.006832,            0.006832
                  18,            0.027755,            0.012978,            0.011376,             0.64773,             0.71865,             0.69861,             0.48125,            0.010064,           0.0037928,           0.0078812,            0.006634,            0.006634,            0.006634
                  19,            0.025493,            0.013067,            0.013839,             0.69173,             0.70278,             0.77892,             0.55017,           0.0096227,           0.0037974,           0.0070511,            0.006436,            0.006436,            0.006436
